title,year,imdb_rating,num_votes,vote_efficiency
Woman,2019.0,8.0,1003.0,7.976071784646063
India's Space Odyssey,2021.0,8.4,1056.0,7.954545454545454
Finding Jack Charlton,2020.0,8.0,1018.0,7.858546168958743
In Search of Darkness Part III: The Final Journey Into '80s Horror,2022.0,7.9,1025.0,7.707317073170732
Herr Bachmann und seine Klasse,2021.0,8.1,1053.0,7.6923076923076925
Judy Blume Forever,2023.0,7.7,1008.0,7.638888888888889
Ryuichi Sakamoto: Opus,2023.0,8.0,1055.0,7.5829383886255926
Luther: Never Too Much,2024.0,8.1,1073.0,7.548928238583411
Surviving Paradise: A Family Tale,2022.0,7.5,1012.0,7.41106719367589
King of Cool,2021.0,7.8,1056.0,7.386363636363636
The Forever Prisoner,2021.0,7.4,1004.0,7.370517928286853
